id,title,url,imageUrl,newsSite,summary,publishedAt
25100,Live coverage: SpaceX to launch 23 Starlink satellites on Falcon 9 rocket from Vandenberg Space Force Base,https://spaceflightnow.com/2024/08/03/live-coverage-spacex-to-launch-23-starlink-satellites-on-falcon-9-rocket-from-vandenberg-space-force-base/,http://spaceflightnow.com/wp-content/uploads/2024/01/20240118-Starlink-File-Photo-Feature-Image.jpg,Spaceflight Now,"The launch comes following a scrub for weather of the NG-21 mission at Cape Canaveral Space Force Station. Liftoff of the Starlink 11-1 mission is targeting 12:24 a.m. PDT (3:24 a.m. EDT, 0724 UTC) from Space Launch Complex 4 East (SLC-4E).",2024-08-03T16:43:03Z
25099,"Science and supplies ready to fly on Falcon 9, Cygnus NG-21",https://www.nasaspaceflight.com/2024/08/cygnus-ng-21/,https://www.nasaspaceflight.com/wp-content/uploads/2024/08/IMG_1389-scaled.jpeg,NASASpaceflight,"For the second time in 2024, Northrop Grummanâ€™s Cygnus spacecraft will deliver a bounty of science experiments and cargo to the crew aboard the International Space Station (ISS). The CRS NG-21 mission is slated to lift off on a Falcon 9 from Space Launch Complex 40 (SLC-40) at the Cape Canaveral Space Force Station in Florida no earlier than Saturday, Aug. 3 at 11:29 AM EDT (15:29 UTC).",2024-08-03T13:49:46Z
25097,SpaceX scrubs Northrop Grumman Cygnus spacecraft launch to the International Space Station due to poor weather,https://spaceflightnow.com/2024/08/03/live-coverage-spacex-to-launch-northrop-grumman-cygnus-spacecraft-to-the-international-space-station-on-falcon-9-rocket/,http://spaceflightnow.com/wp-content/uploads/2024/08/20240730-NG-21_Cygnus_encapsulation.jpeg,Spaceflight Now,"The mission, dubbed NG-21, will be the second out of three planned launches of a Cygnus spacecraft onboard a Falcon 9 rocket. Liftoff is set for Sunday, Aug. 4, at 11:02 a.m. EDT (1502 UTC).",2024-08-03T03:28:21Z
25098,Chinese Scientists Outline Comprehensive Cislunar Space Infrastructure Plan,https://tlpnetwork.com/news/america/chinese-scientists-outline-comprehensive-cislunar-space-infrastructure-plan,https://cdn.tlpnetwork.com/articles/2024/1722655180355.webp,The Launch Pad,Chinese Scientists Outline Comprehensive Cislunar Space Infrastructure Plan,2024-08-03T03:13:00Z
25096,Rocket Lab Successfully Launches Fifth Radar Imaging Satellite for Synspective,https://tlpnetwork.com/news/america/rocket-lab-successfully-launches-fifth-radar-imaging-satellite-for-synspective,https://cdn.tlpnetwork.com/articles/2024/1722654582718.jpeg,The Launch Pad,Rocket Lab Successfully Launches Fifth Radar Imaging Satellite for Synspective,2024-08-03T03:04:00Z
25094,Capella Space Secures $14.9 Million SAR Services Contract from U.S. Air Force Research Laboratory,https://tlpnetwork.com/news/america/capella-space-secures-sar-services-contract-from-us-air-force-research-laboratory,https://cdn.tlpnetwork.com/articles/2024/1722653735052.webp,The Launch Pad,Capella Space Secures $14.9 Million SAR Services Contract from U.S. Air Force Research Laboratory,2024-08-03T02:49:00Z
25095,China Launches Second Classified High Orbit Internet Satellite,https://tlpnetwork.com/news/asia/china-launches-second-classified-high-orbit-internet-satellite,https://cdn.tlpnetwork.com/articles/2024/1722653052728.webp,The Launch Pad,China Launches Second Classified High Orbit Internet Satellite,2024-08-03T02:36:00Z
25092,Ursa Major Appoints Dan Jablonsky As CEO Amid Expansion Plans,https://tlpnetwork.com/news/america/ursa-major-appoints-dan-jablonsky-as-ceo-amid-expansion-plans,https://cdn.tlpnetwork.com/articles/2024/1722651426707.webp,The Launch Pad,Ursa Major Appoints Dan Jablonsky As CEO Amid Expansion Plans,2024-08-03T02:14:00Z
25093,SES Space & Defense Secures $46.8 Million Contract to Support U.S. Air Force RPA Training,https://tlpnetwork.com/news/america/ses-space-and-defense-secures-contract-to-support-us-air-force-rpa-training,https://cdn.tlpnetwork.com/articles/2024/1722651135621.jpg,The Launch Pad,SES Space & Defense Secures $46.8 Million Contract to Support U.S. Air Force RPA Training,2024-08-03T02:09:00Z
25091,CACI International Secures $450 Million Contract to Support Joint Navigation Warfare Center,https://tlpnetwork.com/news/america/caci-international-secures-contract-to-support-joint-navigation-warfare-center,https://cdn.tlpnetwork.com/articles/2024/1722650881354.jpg,The Launch Pad,CACI International Secures $450 Million Contract to Support Joint Navigation Warfare Center,2024-08-03T02:05:00Z
